country,states,id,country_iso2,country_norm,emoji_flag
Mexico,"[{""name"": ""Aguascalientes"", ""active"": true}, {""name"": ""Baja California"", ""active"": true}, {""name"": ""Baja California Sur"", ""active"": true}, {""name"": ""Campeche"", ""active"": true}, {""name"": ""Chiapas"", ""active"": true}, {""name"": ""Chihuahua"", ""active"": true}, {""name"": ""Coahuila"", ""active"": true}, {""name"": ""Colima"", ""active"": true}, {""name"": ""Durango"", ""active"": true}, {""name"": ""Guanajuato"", ""active"": true}, {""name"": ""Guerrero"", ""active"": true}, {""name"": ""Hidalgo"", ""active"": true}, {""name"": ""Jalisco"", ""active"": true}, {""name"": ""Mexico City"", ""active"": true}, {""name"": ""México State"", ""active"": true}, {""name"": ""Michoacán"", ""active"": true}, {""name"": ""Morelos"", ""active"": true}, {""name"": ""Nayarit"", ""active"": true}, {""name"": ""Nuevo León"", ""active"": true}, {""name"": ""Oaxaca"", ""active"": true}, {""name"": ""Puebla"", ""active"": true}, {""name"": ""Querétaro"", ""active"": true}, {""name"": ""Quintana Roo"", ""active"": true}, {""name"": ""San Luis Potosí"", ""active"": true}, {""name"": ""Sinaloa"", ""active"": true}, {""name"": ""Sonora"", ""active"": true}, {""name"": ""Tabasco"", ""active"": true}, {""name"": ""Tamaulipas"", ""active"": true}, {""name"": ""Tlaxcala"", ""active"": true}, {""name"": ""Veracruz"", ""active"": true}, {""name"": ""Yucatán"", ""active"": true}, {""name"": ""Zacatecas"", ""active"": true}]",f3074d8d-ea9f-4871-812e-f6b733efd37e,ME, exico,🇲🇪
Micronesia,"[{""name"": ""Chuuk"", ""active"": true}, {""name"": ""Kosrae"", ""active"": true}, {""name"": ""Pohnpei"", ""active"": true}, {""name"": ""Yap"", ""active"": true}]",b80e827d-5df0-41ac-aa25-7dbe46824ade,MI, icronesia,🇲🇮
Guatemala,"[{""name"": ""Alta Verapaz"", ""active"": true}, {""name"": ""Baja Verapaz"", ""active"": true}, {""name"": ""Chimaltenango"", ""active"": true}, {""name"": ""Chiquimula"", ""active"": true}, {""name"": ""El Progreso"", ""active"": true}, {""name"": ""Escuintla"", ""active"": true}, {""name"": ""Guatemala"", ""active"": true}, {""name"": ""Huehuetenango"", ""active"": true}, {""name"": ""Izabal"", ""active"": true}, {""name"": ""Jalapa"", ""active"": true}, {""name"": ""Jutiapa"", ""active"": true}, {""name"": ""Petén"", ""active"": true}, {""name"": ""Quetzaltenango"", ""active"": true}, {""name"": ""Quiché"", ""active"": true}, {""name"": ""Retalhuleu"", ""active"": true}, {""name"": ""Sacatepéquez"", ""active"": true}, {""name"": ""San Marcos"", ""active"": true}, {""name"": ""Santa Rosa"", ""active"": true}, {""name"": ""Sololá"", ""active"": true}, {""name"": ""Suchitepéquez"", ""active"": true}, {""name"": ""Totonicapán"", ""active"": true}, {""name"": ""Zacapa"", ""active"": true}]",5c35bcab-a300-4e23-9f06-d2e8450f917b,GU, uatemala,🇬🇺
Moldova,"[{""name"": ""Anenii Noi"", ""active"": true}, {""name"": ""Basarabeasca"", ""active"": true}, {""name"": ""Bender"", ""active"": true}, {""name"": ""Briceni"", ""active"": true}, {""name"": ""Cahul"", ""active"": true}, {""name"": ""Cantemir"", ""active"": true}, {""name"": ""Călărași"", ""active"": true}, {""name"": ""Căușeni"", ""active"": true}, {""name"": ""Chișinău"", ""active"": true}, {""name"": ""Criuleni"", ""active"": true}, {""name"": ""Dondușeni"", ""active"": true}, {""name"": ""Drochia"", ""active"": true}, {""name"": ""Dubăsari"", ""active"": true}, {""name"": ""Edineț"", ""active"": true}, {""name"": ""Fălești"", ""active"": true}, {""name"": ""Florești"", ""active"": true}, {""name"": ""Gagauzia"", ""active"": true}, {""name"": ""Glodeni"", ""active"": true}, {""name"": ""Hîncești"", ""active"": true}, {""name"": ""Ialoveni"", ""active"": true}, {""name"": ""Leova"", ""active"": true}, {""name"": ""Nisporeni"", ""active"": true}, {""name"": ""Ocnița"", ""active"": true}, {""name"": ""Orhei"", ""active"": true}, {""name"": ""Rezina"", ""active"": true}, {""name"": ""Rîșcani"", ""active"": true}, {""name"": ""Sîngerei"", ""active"": true}, {""name"": ""Soroca"", ""active"": true}, {""name"": ""Strășeni"", ""active"": true}, {""name"": ""Șoldănești"", ""active"": true}, {""name"": ""Taraclia"", ""active"": true}, {""name"": ""Telenești"", ""active"": true}, {""name"": ""Ungheni"", ""active"": true}]",aa39a724-d3e8-4b9c-8ae8-1d06d4b06d81,MO, oldova,🇲🇴
Sudan,"[{""name"": ""Al Jazirah"", ""active"": true}, {""name"": ""Al Qadarif"", ""active"": true}, {""name"": ""Blue Nile"", ""active"": true}, {""name"": ""Central Darfur"", ""active"": true}, {""name"": ""East Darfur"", ""active"": true}, {""name"": ""Khartoum"", ""active"": true}, {""name"": ""Kassala"", ""active"": true}, {""name"": ""North Darfur"", ""active"": true}, {""name"": ""North Kordofan"", ""active"": true}, {""name"": ""Northern"", ""active"": true}, {""name"": ""Red Sea"", ""active"": true}, {""name"": ""River Nile"", ""active"": true}, {""name"": ""Sennar"", ""active"": true}, {""name"": ""South Darfur"", ""active"": true}, {""name"": ""South Kordofan"", ""active"": true}, {""name"": ""West Darfur"", ""active"": true}, {""name"": ""West Kordofan"", ""active"": true}]",ab414ab4-1d4e-47c3-83ba-653f0d498b0f,SU, udan,🇸🇺
Mongolia,"[{""name"": ""Arhangai"", ""active"": true}, {""name"": ""Bayan-Ölgii"", ""active"": true}, {""name"": ""Bayankhongor"", ""active"": true}, {""name"": ""Bulgan"", ""active"": true}, {""name"": ""Darhan-Uul"", ""active"": true}, {""name"": ""Dornod"", ""active"": true}, {""name"": ""Dornogovi"", ""active"": true}, {""name"": ""Dzavhan"", ""active"": true}, {""name"": ""Govi-Altai"", ""active"": true}, {""name"": ""Govisümber"", ""active"": true}, {""name"": ""Hentiy"", ""active"": true}, {""name"": ""Hövsgöl"", ""active"": true}, {""name"": ""Ömnögovi"", ""active"": true}, {""name"": ""Orkhon"", ""active"": true}, {""name"": ""Övörkhangai"", ""active"": true}, {""name"": ""Selenge"", ""active"": true}, {""name"": ""Sühbaatar"", ""active"": true}, {""name"": ""Töv"", ""active"": true}, {""name"": ""Ulaanbaatar"", ""active"": true}, {""name"": ""Uvs"", ""active"": true}, {""name"": ""Zavkhan"", ""active"": true}]",e50fe5eb-df9c-4290-a366-70faf11bd497,MO, ongolia,🇲🇴
Montenegro,"[{""name"": ""Andrijevica"", ""active"": true}, {""name"": ""Bar"", ""active"": true}, {""name"": ""Berane"", ""active"": true}, {""name"": ""Bijelo Polje"", ""active"": true}, {""name"": ""Budva"", ""active"": true}, {""name"": ""Cetinje"", ""active"": true}, {""name"": ""Danilovgrad"", ""active"": true}, {""name"": ""Herceg Novi"", ""active"": true}, {""name"": ""Kolašin"", ""active"": true}, {""name"": ""Kotor"", ""active"": true}, {""name"": ""Mojkovac"", ""active"": true}, {""name"": ""Nikšić"", ""active"": true}, {""name"": ""Petnjica"", ""active"": true}, {""name"": ""Plav"", ""active"": true}, {""name"": ""Plužine"", ""active"": true}, {""name"": ""Pljevlja"", ""active"": true}, {""name"": ""Podgorica"", ""active"": true}, {""name"": ""Rožaje"", ""active"": true}, {""name"": ""Šavnik"", ""active"": true}, {""name"": ""Tivat"", ""active"": true}, {""name"": ""Tuzi"", ""active"": true}, {""name"": ""Ulcinj"", ""active"": true}, {""name"": ""Žabljak"", ""active"": true}]",b21d47fa-8506-40f5-951e-e713da37a0d7,MO, ontenegro,🇲🇴
Montserrat,"[{""name"": ""Plymouth"", ""active"": true}, {""name"": ""Saint Anthony"", ""active"": true}, {""name"": ""Saint Georges"", ""active"": true}, {""name"": ""Saint Peter"", ""active"": true}]",ec896c4a-eeca-4d77-8825-18501c67fc86,MO, ontserrat,🇲🇴
Western Sahara,"[{""name"": ""Aousserd"", ""active"": true}, {""name"": ""Es Semara"", ""active"": true}, {""name"": ""Laâyoune"", ""active"": true}, {""name"": ""Oued Ed-Dahab"", ""active"": true}]",0b7477a4-416a-44cb-8139-27110a56125f,WE, estern ahara,🇼🇪
Mozambique,"[{""name"": ""Cabo Delgado"", ""active"": true}, {""name"": ""Gaza"", ""active"": true}, {""name"": ""Inhambane"", ""active"": true}, {""name"": ""Manica"", ""active"": true}, {""name"": ""Maputo"", ""active"": true}, {""name"": ""Maputo City"", ""active"": true}, {""name"": ""Nampula"", ""active"": true}, {""name"": ""Niassa"", ""active"": true}, {""name"": ""Sofala"", ""active"": true}, {""name"": ""Tete"", ""active"": true}, {""name"": ""Zambezia"", ""active"": true}]",fa4216f3-d5a8-4bd7-ab8e-3f2994cdeb65,MO, ozambique,🇲🇴
Guadeloupe,"[{""name"": ""Basse-Terre"", ""active"": true}, {""name"": ""Grande-Terre"", ""active"": true}, {""name"": ""La Désirade"", ""active"": true}, {""name"": ""Marie-Galante"", ""active"": true}, {""name"": ""Les Saintes"", ""active"": true}]",24ce9598-e414-4476-8985-0dda1f8d31ea,GU, uadeloupe,🇬🇺
Guam,"[{""name"": ""Agana Heights"", ""active"": true}, {""name"": ""Agat"", ""active"": true}, {""name"": ""Asan-Maina"", ""active"": true}, {""name"": ""Barrigada"", ""active"": true}, {""name"": ""Chalan-Pago-Ordot"", ""active"": true}, {""name"": ""Dededo"", ""active"": true}, {""name"": ""Hagatna"", ""active"": true}, {""name"": ""Inarajan"", ""active"": true}, {""name"": ""Mangilao"", ""active"": true}, {""name"": ""Merizo"", ""active"": true}, {""name"": ""Mongmong-Toto-Maite"", ""active"": true}, {""name"": ""Santa Rita"", ""active"": true}, {""name"": ""Sinajana"", ""active"": true}, {""name"": ""Talofofo"", ""active"": true}, {""name"": ""Tamuning-Tumon-Harmon"", ""active"": true}, {""name"": ""Yigo"", ""active"": true}, {""name"": ""Yona"", ""active"": true}]",a8a51327-37fc-41a6-ac73-49e804ba5b25,GU, uam,🇬🇺
Guyana,"[{""name"": ""Barima-Waini"", ""active"": true}, {""name"": ""Cuyuni-Mazaruni"", ""active"": true}, {""name"": ""Demerara-Mahaica"", ""active"": true}, {""name"": ""East Berbice-Corentyne"", ""active"": true}, {""name"": ""Essequibo Islands-West Demerara"", ""active"": true}, {""name"": ""Mahaica-Berbice"", ""active"": true}, {""name"": ""Pomeroon-Supenaam"", ""active"": true}, {""name"": ""Potaro-Siparuni"", ""active"": true}, {""name"": ""Upper Demerara-Berbice"", ""active"": true}, {""name"": ""Upper Takutu-Upper Essequibo"", ""active"": true}]",89b55e6b-5e97-415a-b6a2-35f1cd1bf46a,GU, uyana,🇬🇺
Myanmar,"[{""name"": ""Chin"", ""active"": true}, {""name"": ""Kachin"", ""active"": true}, {""name"": ""Kayah"", ""active"": true}, {""name"": ""Kayin"", ""active"": true}, {""name"": ""Magway"", ""active"": true}, {""name"": ""Mandalay"", ""active"": true}, {""name"": ""Mon"", ""active"": true}, {""name"": ""Rakhine"", ""active"": true}, {""name"": ""Sagaing"", ""active"": true}, {""name"": ""Shan"", ""active"": true}, {""name"": ""Tanintharyi"", ""active"": true}, {""name"": ""Yangon"", ""active"": true}]",11bb46ab-23d9-41d9-a0ea-488b28559247,MY, yanmar,🇲🇾
Namibia,"[{""name"": ""Erongo"", ""active"": true}, {""name"": ""Hardap"", ""active"": true}, {""name"": ""Karas"", ""active"": true}, {""name"": ""Kavango East"", ""active"": true}, {""name"": ""Kavango West"", ""active"": true}, {""name"": ""Khomas"", ""active"": true}, {""name"": ""Kunene"", ""active"": true}, {""name"": ""Ohangwena"", ""active"": true}, {""name"": ""Omaheke"", ""active"": true}, {""name"": ""Omusati"", ""active"": true}, {""name"": ""Oshana"", ""active"": true}, {""name"": ""Oshikoto"", ""active"": true}, {""name"": ""Otjozondjupa"", ""active"": true}]",cc21aa40-025f-4dab-a706-40a2846e7bcd,NA, amibia,🇳🇦
Nauru,"[{""name"": ""Aiwo"", ""active"": true}, {""name"": ""Anabar"", ""active"": true}, {""name"": ""Anetan"", ""active"": true}, {""name"": ""Anibare"", ""active"": true}, {""name"": ""Baiti"", ""active"": true}, {""name"": ""Boe"", ""active"": true}, {""name"": ""Buada"", ""active"": true}, {""name"": ""Denigomodu"", ""active"": true}, {""name"": ""Ewa"", ""active"": true}, {""name"": ""Ijuw"", ""active"": true}, {""name"": ""Meneng"", ""active"": true}, {""name"": ""Nibok"", ""active"": true}, {""name"": ""Uaboe"", ""active"": true}, {""name"": ""Yaren"", ""active"": true}]",b71e494b-f62d-4dd4-ba43-cdbb98c2f249,NA, auru,🇳🇦
Nepal,"[{""name"": ""Bagmati Province"", ""active"": true}, {""name"": ""Gandaki Province"", ""active"": true}, {""name"": ""Karnali Province"", ""active"": true}, {""name"": ""Lumbini Province"", ""active"": true}, {""name"": ""Madhesh Province"", ""active"": true}, {""name"": ""Province No. 1"", ""active"": true}, {""name"": ""Sudurpashchim Province"", ""active"": true}]",46eda7e7-f670-48f3-a6c1-266b2447471e,NE, epal,🇳🇪
Netherlands,"[{""name"": ""Drenthe"", ""active"": true}, {""name"": ""Flevoland"", ""active"": true}, {""name"": ""Friesland"", ""active"": true}, {""name"": ""Gelderland"", ""active"": true}, {""name"": ""Groningen"", ""active"": true}, {""name"": ""Limburg"", ""active"": true}, {""name"": ""North Brabant"", ""active"": true}, {""name"": ""North Holland"", ""active"": true}, {""name"": ""Overijssel"", ""active"": true}, {""name"": ""South Holland"", ""active"": true}, {""name"": ""Utrecht"", ""active"": true}, {""name"": ""Zeeland"", ""active"": true}]",4375a363-8826-4c41-b0e4-506b27f0d2f7,NE, etherlands,🇳🇪
New Caledonia,"[{""name"": ""Île des Pins"", ""active"": true}, {""name"": ""Loyalty Islands"", ""active"": true}, {""name"": ""North Province"", ""active"": true}, {""name"": ""South Province"", ""active"": true}]",c2a3e1c8-30cb-4160-9fe6-f42aaa958b7b,NE, ew aledonia,🇳🇪
New Zealand,"[{""name"": ""Auckland"", ""active"": true}, {""name"": ""Bay of Plenty"", ""active"": true}, {""name"": ""Canterbury"", ""active"": true}, {""name"": ""Gisborne"", ""active"": true}, {""name"": ""Hawke's Bay"", ""active"": true}, {""name"": ""Manawatu-Wanganui"", ""active"": true}, {""name"": ""Marlborough"", ""active"": true}, {""name"": ""Nelson"", ""active"": true}, {""name"": ""Northland"", ""active"": true}, {""name"": ""Otago"", ""active"": true}, {""name"": ""Southland"", ""active"": true}, {""name"": ""Taranaki"", ""active"": true}, {""name"": ""Tasman"", ""active"": true}, {""name"": ""Waikato"", ""active"": true}, {""name"": ""Wellington"", ""active"": true}, {""name"": ""West Coast"", ""active"": true}]",65493b06-cc57-42d4-9dd7-4c83532e0c43,NE, ew ealand,🇳🇪
Nicaragua,"[{""name"": ""Boaco"", ""active"": true}, {""name"": ""Carazo"", ""active"": true}, {""name"": ""Chinandega"", ""active"": true}, {""name"": ""Chontales"", ""active"": true}, {""name"": ""Estelí"", ""active"": true}, {""name"": ""Granada"", ""active"": true}, {""name"": ""Jinotega"", ""active"": true}, {""name"": ""León"", ""active"": true}, {""name"": ""Madriz"", ""active"": true}, {""name"": ""Managua"", ""active"": true}, {""name"": ""Masaya"", ""active"": true}, {""name"": ""Matagalpa"", ""active"": true}, {""name"": ""Nueva Segovia"", ""active"": true}, {""name"": ""Río San Juan"", ""active"": true}, {""name"": ""Rivas"", ""active"": true}]",50e4dfa6-26ae-463d-a92b-87628659ff00,NI, icaragua,🇳🇮
Niger,"[{""name"": ""Agadez"", ""active"": true}, {""name"": ""Diffa"", ""active"": true}, {""name"": ""Dosso"", ""active"": true}, {""name"": ""Maradi"", ""active"": true}, {""name"": ""Tahoua"", ""active"": true}, {""name"": ""Tillabéri"", ""active"": true}, {""name"": ""Zinder"", ""active"": true}]",06c4ab3e-3eea-4d72-8bd2-2acdddf98be8,NI, iger,🇳🇮
Barbados,"[{""name"": ""Christ Church"", ""active"": true}, {""name"": ""Saint Andrew"", ""active"": true}, {""name"": ""Saint George"", ""active"": true}, {""name"": ""Saint James"", ""active"": true}, {""name"": ""Saint John"", ""active"": true}, {""name"": ""Saint Joseph"", ""active"": true}, {""name"": ""Saint Lucy"", ""active"": true}, {""name"": ""Saint Michael"", ""active"": true}, {""name"": ""Saint Peter"", ""active"": true}, {""name"": ""Saint Philip"", ""active"": true}, {""name"": ""Saint Thomas"", ""active"": true}]",9e8d9f34-d8ca-4b98-8998-77e2c794b27e,BA, arbados,🇧🇦
Nigeria,"[{""name"": ""Abia"", ""active"": true}, {""name"": ""Adamawa"", ""active"": true}, {""name"": ""Akwa Ibom"", ""active"": true}, {""name"": ""Anambra"", ""active"": true}, {""name"": ""Bauchi"", ""active"": true}, {""name"": ""Bayelsa"", ""active"": true}, {""name"": ""Benue"", ""active"": true}, {""name"": ""Borno"", ""active"": true}, {""name"": ""Cross River"", ""active"": true}, {""name"": ""Delta"", ""active"": true}, {""name"": ""Ebonyi"", ""active"": true}, {""name"": ""Edo"", ""active"": true}, {""name"": ""Ekiti"", ""active"": true}, {""name"": ""Enugu"", ""active"": true}, {""name"": ""Gombe"", ""active"": true}, {""name"": ""Imo"", ""active"": true}, {""name"": ""Jigawa"", ""active"": true}, {""name"": ""Kaduna"", ""active"": true}, {""name"": ""Kano"", ""active"": true}, {""name"": ""Katsina"", ""active"": true}, {""name"": ""Kebbi"", ""active"": true}, {""name"": ""Kogi"", ""active"": true}, {""name"": ""Kwara"", ""active"": true}, {""name"": ""Lagos"", ""active"": true}, {""name"": ""Nasarawa"", ""active"": true}, {""name"": ""Niger"", ""active"": true}, {""name"": ""Ogun"", ""active"": true}, {""name"": ""Ondo"", ""active"": true}, {""name"": ""Osun"", ""active"": true}, {""name"": ""Oyo"", ""active"": true}, {""name"": ""Plateau"", ""active"": true}, {""name"": ""Rivers"", ""active"": true}, {""name"": ""Sokoto"", ""active"": true}, {""name"": ""Taraba"", ""active"": true}, {""name"": ""Yobe"", ""active"": true}, {""name"": ""Zamfara"", ""active"": true}, {""name"": ""Federal Capital Territory"", ""active"": true}]",97f5ac10-7948-4da9-b025-98d77c7b58e0,NI, igeria,🇳🇮
North Korea,"[{""name"": ""Chagang"", ""active"": true}, {""name"": ""North Hamgyong"", ""active"": true}, {""name"": ""South Hamgyong"", ""active"": true}, {""name"": ""North Hwanghae"", ""active"": true}, {""name"": ""South Hwanghae"", ""active"": true}, {""name"": ""Kangwon"", ""active"": true}, {""name"": ""North Pyongan"", ""active"": true}, {""name"": ""South Pyongan"", ""active"": true}, {""name"": ""Ryanggang"", ""active"": true}, {""name"": ""Pyongyang"", ""active"": true}]",35e37a62-8a5f-4bda-819d-682a47497ccc,NO, orth orea,🇳🇴
Suriname,"[{""name"": ""Brokopondo"", ""active"": true}, {""name"": ""Commewijne"", ""active"": true}, {""name"": ""Coronie"", ""active"": true}, {""name"": ""Marowijne"", ""active"": true}, {""name"": ""Nickerie"", ""active"": true}, {""name"": ""Para"", ""active"": true}, {""name"": ""Paramaribo"", ""active"": true}, {""name"": ""Saramacca"", ""active"": true}, {""name"": ""Sipaliwini"", ""active"": true}, {""name"": ""Wanica"", ""active"": true}]",634912c7-826c-45b9-a16e-ab260d72dcb3,SU, uriname,🇸🇺
North Macedonia,"[{""name"": ""Aerodrom"", ""active"": true}, {""name"": ""Aračinovo"", ""active"": true}, {""name"": ""Berovo"", ""active"": true}, {""name"": ""Bitola"", ""active"": true}, {""name"": ""Bogdanci"", ""active"": true}, {""name"": ""Bogovinje"", ""active"": true}, {""name"": ""Bosilovo"", ""active"": true}, {""name"": ""Brvenica"", ""active"": true}, {""name"": ""Butel"", ""active"": true}, {""name"": ""Čair"", ""active"": true}, {""name"": ""Čaška"", ""active"": true}, {""name"": ""Čučer-Sandevo"", ""active"": true}, {""name"": ""Debar"", ""active"": true}, {""name"": ""Debarca"", ""active"": true}, {""name"": ""Delčevo"", ""active"": true}, {""name"": ""Demir Hisar"", ""active"": true}, {""name"": ""Demir Kapija"", ""active"": true}, {""name"": ""Dojran"", ""active"": true}, {""name"": ""Dolneni"", ""active"": true}, {""name"": ""Gazi Baba"", ""active"": true}, {""name"": ""Gevgelija"", ""active"": true}, {""name"": ""Gostivar"", ""active"": true}, {""name"": ""Gradsko"", ""active"": true}, {""name"": ""Ilinden"", ""active"": true}, {""name"": ""Jegunovce"", ""active"": true}, {""name"": ""Karbinci"", ""active"": true}, {""name"": ""Karpoš"", ""active"": true}, {""name"": ""Kisela Voda"", ""active"": true}, {""name"": ""Kičevo"", ""active"": true}, {""name"": ""Kočani"", ""active"": true}, {""name"": ""Kratovo"", ""active"": true}, {""name"": ""Kriva Palanka"", ""active"": true}, {""name"": ""Krivogaštani"", ""active"": true}, {""name"": ""Kruševo"", ""active"": true}, {""name"": ""Kumanovo"", ""active"": true}, {""name"": ""Lipkovo"", ""active"": true}, {""name"": ""Lozovo"", ""active"": true}, {""name"": ""Mavrovo and Rostuša"", ""active"": true}, {""name"": ""Makedonska Kamenica"", ""active"": true}, {""name"": ""Makedonski Brod"", ""active"": true}, {""name"": ""Negotino"", ""active"": true}, {""name"": ""Novaci"", ""active"": true}, {""name"": ""Novo Selo"", ""active"": true}, {""name"": ""Ohrid"", ""active"": true}, {""name"": ""Petrovec"", ""active"": true}, {""name"": ""Plasnica"", ""active"": true}, {""name"": ""Prilep"", ""active"": true}, {""name"": ""Probištip"", ""active"": true}, {""name"": ""Radoviš"", ""active"": true}, {""name"": ""Rankovce"", ""active"": true}, {""name"": ""Resen"", ""active"": true}, {""name"": ""Saraj"", ""active"": true}, {""name"": ""Sopište"", ""active"": true}, {""name"": ""Staro Nagoričane"", ""active"": true}, {""name"": ""Struga"", ""active"": true}, {""name"": ""Strumica"", ""active"": true}, {""name"": ""Studeničani"", ""active"": true}, {""name"": ""Štip"", ""active"": true}, {""name"": ""Tetovo"", ""active"": true}, {""name"": ""Valandovo"", ""active"": true}, {""name"": ""Vasilevo"", ""active"": true}, {""name"": ""Veles"", ""active"": true}, {""name"": ""Vevčani"", ""active"": true}, {""name"": ""Vinica"", ""active"": true}, {""name"": ""Zajas"", ""active"": true}, {""name"": ""Zelenikovo"", ""active"": true}, {""name"": ""Zrnovci"", ""active"": true}]",e0d69254-8e9b-4b11-86f4-a51545e6c269,NO, orth acedonia,🇳🇴
Northern Mariana Islands,"[{""name"": ""Rota"", ""active"": true}, {""name"": ""Saipan"", ""active"": true}, {""name"": ""Tinian"", ""active"": true}]",83db4956-89fc-41a3-9755-812845eee98a,NO, orthern ariana slands,🇳🇴
Norway,"[{""name"": ""Agder"", ""active"": true}, {""name"": ""Innlandet"", ""active"": true}, {""name"": ""Møre og Romsdal"", ""active"": true}, {""name"": ""Nordland"", ""active"": true}, {""name"": ""Oslo"", ""active"": true}, {""name"": ""Rogaland"", ""active"": true}, {""name"": ""Troms og Finnmark"", ""active"": true}, {""name"": ""Trøndelag"", ""active"": true}, {""name"": ""Vestfold og Telemark"", ""active"": true}, {""name"": ""Vestland"", ""active"": true}, {""name"": ""Viken"", ""active"": true}]",ed466e22-240e-4069-a1ef-2c884c912de3,NO, orway,🇳🇴
Oman,"[{""name"": ""Ad Dakhiliyah"", ""active"": true}, {""name"": ""Ad Dhahirah"", ""active"": true}, {""name"": ""Al Batinah North"", ""active"": true}, {""name"": ""Al Batinah South"", ""active"": true}, {""name"": ""Al Wusta"", ""active"": true}, {""name"": ""Ash Sharqiyah North"", ""active"": true}, {""name"": ""Ash Sharqiyah South"", ""active"": true}, {""name"": ""Dhofar"", ""active"": true}, {""name"": ""Muscat"", ""active"": true}, {""name"": ""Musandam"", ""active"": true}, {""name"": ""Al Buraymi"", ""active"": true}]",56233c02-83cd-4f29-8d86-c05de058f605,OM, man,🇴🇲
Pakistan,"[{""name"": ""Azad Jammu and Kashmir"", ""active"": true}, {""name"": ""Balochistan"", ""active"": true}, {""name"": ""Gilgit-Baltistan"", ""active"": true}, {""name"": ""Islamabad Capital Territory"", ""active"": true}, {""name"": ""Khyber Pakhtunkhwa"", ""active"": true}, {""name"": ""Punjab"", ""active"": true}, {""name"": ""Sindh"", ""active"": true}]",99379efc-ce39-41e4-98c9-b3f5adb86615,PA, akistan,🇵🇦
Palau,"[{""name"": ""Aimeliik"", ""active"": true}, {""name"": ""Airai"", ""active"": true}, {""name"": ""Angaur"", ""active"": true}, {""name"": ""Hatohobei"", ""active"": true}, {""name"": ""Kayangel"", ""active"": true}, {""name"": ""Koror"", ""active"": true}, {""name"": ""Melekeok"", ""active"": true}, {""name"": ""Ngaraard"", ""active"": true}, {""name"": ""Ngarchelong"", ""active"": true}, {""name"": ""Ngardmau"", ""active"": true}, {""name"": ""Ngatpang"", ""active"": true}, {""name"": ""Ngchesar"", ""active"": true}, {""name"": ""Ngiwal"", ""active"": true}, {""name"": ""Peleliu"", ""active"": true}, {""name"": ""Sonsorol"", ""active"": true}]",1f837aa8-d493-480b-ac28-0cce58a4c32b,PA, alau,🇵🇦
Panama,"[{""name"": ""Bocas del Toro"", ""active"": true}, {""name"": ""Chiriquí"", ""active"": true}, {""name"": ""Coclé"", ""active"": true}, {""name"": ""Colón"", ""active"": true}, {""name"": ""Darién"", ""active"": true}, {""name"": ""Emberá"", ""active"": true}, {""name"": ""Herrera"", ""active"": true}, {""name"": ""Los Santos"", ""active"": true}, {""name"": ""Ngäbe-Buglé"", ""active"": true}, {""name"": ""Panamá"", ""active"": true}, {""name"": ""Veraguas"", ""active"": true}]",93a4aa2a-92c0-4ac7-81e7-ae0e93219df9,PA, anama,🇵🇦
Papua New Guinea,"[{""name"": ""Bougainville"", ""active"": true}, {""name"": ""Central"", ""active"": true}, {""name"": ""Chimbu"", ""active"": true}, {""name"": ""Eastern Highlands"", ""active"": true}, {""name"": ""East New Britain"", ""active"": true}, {""name"": ""East Sepik"", ""active"": true}, {""name"": ""Enga"", ""active"": true}, {""name"": ""Gulf"", ""active"": true}, {""name"": ""Hela"", ""active"": true}, {""name"": ""Jiwaka"", ""active"": true}, {""name"": ""Madang"", ""active"": true}, {""name"": ""Manus"", ""active"": true}, {""name"": ""Milne Bay"", ""active"": true}, {""name"": ""Morobe"", ""active"": true}, {""name"": ""New Ireland"", ""active"": true}, {""name"": ""Northern Province"", ""active"": true}, {""name"": ""Southern Highlands"", ""active"": true}, {""name"": ""West New Britain"", ""active"": true}, {""name"": ""Western Highlands"", ""active"": true}, {""name"": ""West Sepik"", ""active"": true}]",bea28278-7db7-4af6-8590-2fe3d0a9dc77,PA, apua ew uinea,🇵🇦
Paraguay,"[{""name"": ""Alto Paraná"", ""active"": true}, {""name"": ""Alto Paraguay"", ""active"": true}, {""name"": ""Alto Pilcomayo"", ""active"": true}, {""name"": ""Amambay"", ""active"": true}, {""name"": ""Asunción"", ""active"": true}, {""name"": ""Boquerón"", ""active"": true}, {""name"": ""Caaguazú"", ""active"": true}, {""name"": ""Caazapá"", ""active"": true}, {""name"": ""Canindeyú"", ""active"": true}, {""name"": ""Central"", ""active"": true}, {""name"": ""Concepción"", ""active"": true}, {""name"": ""Cordillera"", ""active"": true}, {""name"": ""Guairá"", ""active"": true}, {""name"": ""Itapúa"", ""active"": true}, {""name"": ""Misiones"", ""active"": true}, {""name"": ""Neembucú"", ""active"": true}, {""name"": ""Paraguarí"", ""active"": true}, {""name"": ""Presidente Hayes"", ""active"": true}, {""name"": ""San Pedro"", ""active"": true}]",ba9860e0-f549-4d65-b505-60de145f1a1a,PA, araguay,🇵🇦
